condition,class,AP5095,AP50,AP75,AP_small,AP_medium,AP_large,AR100,AR10,AR1,AR_small,AR_medium,AR_large,n_gt
clone,car,0.22214379687838695,0.23745669486963453,0.22562935850840563,0.0,0.0666842069355946,0.5629121108508158,0.44395973154362417,0.11342281879194631,0.014026845637583893,0.0,0.23315217391304346,0.951063829787234,1490
clone,truck,0.251862573017785,0.272249694379894,0.272249694379894,,0.39407907785852464,0.20352991820921226,0.7875,0.5583333333333333,0.056666666666666664,,0.7421052631578948,0.96,120
clone,van,0.277506500650065,0.3333333333333334,0.3333333333333334,,0.32449757971188814,,0.8833333333333334,0.1,0.013333333333333332,,0.8833333333333334,,150
fog,car,0.23008575744032753,0.24956522959070415,0.23380189357945425,0.0,0.06017853487510088,0.5652666784292064,0.473489932885906,0.11073825503355705,0.015369127516778524,0.0,0.27391304347826084,0.9648936170212765,1490
fog,truck,0.2934794908062234,0.333993399339934,0.333993399339934,,0.41257207617313457,0.19655617735686615,0.8291666666666666,0.675,0.03833333333333333,,0.8052631578947368,0.9199999999999999,120
fog,van,0.22713097607285695,0.2961296129612962,0.27644014401440137,,0.2669412089786429,,0.7733333333333333,0.09333333333333334,0.006666666666666666,,0.7733333333333333,,150
morning,car,0.2046882292707767,0.2240997040752925,0.209539268418368,0.0,0.04188191033806677,0.5367635842704338,0.44395973154362417,0.10671140939597315,0.014630872483221476,0.0,0.2331521739130435,0.951063829787234,1490
morning,truck,0.26275179242062147,0.2867872994195972,0.2867872994195972,,0.38189533239038187,0.20352991820921226,0.7833333333333333,0.6291666666666667,0.030833333333333334,,0.736842105263158,0.96,120
morning,van,0.25543501928502405,0.32608695652173925,0.32608695652173925,,0.30179248070223424,,0.8466666666666667,0.13333333333333333,0.0,,0.8466666666666667,,150
rain,car,0.23384678261245354,0.2560158927568166,0.23766857984600978,0.0,0.06383176427822461,0.5725746485864329,0.4895973154362416,0.1063758389261745,0.016778523489932886,0.0,0.3005434782608695,0.9638297872340426,1490
rain,truck,0.2673354177523015,0.2957269411151642,0.2957269411151642,,0.39609971711456854,0.19655617735686615,0.7666666666666667,0.6083333333333333,0.04583333333333334,,0.7263157894736842,0.9199999999999999,120
rain,van,0.22828776776881932,0.2796176169341072,0.2796176169341072,,0.26868305472265863,,0.7766666666666666,0.16,0.006666666666666666,,0.7766666666666666,,150
overcast,car,0.22042080232106445,0.2399563683634456,0.22336388923854383,0.0,0.054889835793881854,0.5527993508909093,0.4748322147651007,0.10402684563758388,0.015436241610738255,0.0,0.28043478260869564,0.9563829787234044,1490
overcast,truck,0.2148501753782398,0.23352680095595765,0.23352680095595765,,0.31201827875095206,0.20388799749540176,0.7083333333333333,0.6,0.0325,,0.6421052631578947,0.96,120
overcast,van,0.17949051873828492,0.2291371994342291,0.2087458745874587,,0.21258874815834305,,0.6833333333333333,0.06666666666666667,0.006666666666666666,,0.6833333333333333,,150
sunset,car,0.22733318466493538,0.24648618505502232,0.23406768030899663,0.0,0.07114641280458747,0.5589620402652593,0.46879194630872484,0.10402684563758388,0.014026845637583893,0.0,0.2673913043478261,0.9627659574468085,1490
sunset,truck,0.2526571024449384,0.27722772277227725,0.27722772277227725,,0.33605704320432045,0.19655617735686615,0.775,0.55,0.0,,0.736842105263158,0.9199999999999999,120
sunset,van,0.1941623410693363,0.2291371994342291,0.2291371994342291,,0.22990882724601297,,0.72,0.13,0.006666666666666666,,0.72,,150
